epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
74,2.4558,0.2363,0.3006,0.0127,0.0008,1.9055,2.0565,0.2426,0.2579,0.0121,0.001,1.5429,0.2775,0.5052,0.3061,0.5337,0.2777,0.5083
75,2.3979,0.2374,0.3005,0.0126,0.0008,1.8467,2.0695,0.2423,0.2577,0.012,0.0009,1.5566,0.2825,0.5166,0.31,0.5462,0.2878,0.5201
76,2.3543,0.2347,0.3,0.0126,0.0008,1.8063,2.0506,0.239,0.2589,0.0119,0.0008,1.5399,0.2796,0.5175,0.3076,0.5483,0.2833,0.5201
77,2.3433,0.2366,0.2987,0.0126,0.0008,1.7946,2.0042,0.242,0.2532,0.012,0.001,1.4961,0.2782,0.5148,0.3076,0.5437,0.2784,0.5177
78,2.4491,0.2374,0.3022,0.0126,0.0009,1.8959,2.0402,0.245,0.2581,0.012,0.0009,1.5243,0.2685,0.5007,0.2947,0.5295,0.2709,0.5028
79,2.3874,0.2413,0.2995,0.0126,0.001,1.833,2.0351,0.245,0.2555,0.012,0.001,1.5216,0.2809,0.5002,0.3072,0.5295,0.283,0.5028
80,2.3241,0.2407,0.2943,0.0126,0.0009,1.7755,2.0311,0.2447,0.2533,0.012,0.0009,1.5202,0.29,0.5134,0.3201,0.5427,0.2905,0.5156
81,2.3217,0.2405,0.2968,0.0126,0.0009,1.7708,2.0167,0.2459,0.2526,0.012,0.0009,1.5054,0.2837,0.5085,0.3121,0.5382,0.2867,0.5115
82,2.295,0.2397,0.2944,0.0125,0.001,1.7475,1.9943,0.2449,0.2527,0.0119,0.0009,1.4838,0.2956,0.5257,0.3261,0.5545,0.2956,0.5285
83,2.3559,0.2397,0.2956,0.0125,0.0007,1.8075,1.9983,0.2451,0.2499,0.0119,0.0008,1.4906,0.2962,0.5175,0.3251,0.5441,0.2945,0.5198
84,2.2229,0.2393,0.2885,0.0125,0.0008,1.6818,1.9719,0.244,0.249,0.0119,0.0009,1.4661,0.2834,0.5144,0.3123,0.5427,0.2832,0.5174
85,2.2505,0.2387,0.2894,0.0125,0.0009,1.709,1.9469,0.2458,0.2439,0.0119,0.0009,1.4443,0.2751,0.5061,0.3026,0.5333,0.275,0.5087
86,2.3248,0.2403,0.2978,0.0125,0.0009,1.7733,1.986,0.2466,0.2536,0.0119,0.001,1.4728,0.2709,0.4962,0.2981,0.5222,0.2703,0.4993
87,2.3155,0.2403,0.2937,0.0125,0.0007,1.7683,1.9682,0.2449,0.2503,0.0119,0.0009,1.4602,0.2774,0.5014,0.3024,0.5281,0.2797,0.5049
88,2.2176,0.2379,0.2917,0.0124,0.0007,1.6748,1.9674,0.2441,0.248,0.0118,0.0009,1.4626,0.2766,0.5036,0.3059,0.5309,0.2776,0.508
89,2.1961,0.2395,0.2886,0.0124,0.001,1.6546,1.9483,0.2446,0.2467,0.0118,0.001,1.4442,0.2799,0.5086,0.3079,0.5372,0.2835,0.5118
90,2.213,0.2412,0.2865,0.0124,0.0008,1.6721,1.9327,0.2466,0.2487,0.0118,0.0007,1.4248,0.2752,0.5045,0.3037,0.5333,0.276,0.5069
91,2.1661,0.2411,0.2889,0.0125,0.001,1.6226,1.9042,0.2453,0.2493,0.0119,0.0008,1.3969,0.2855,0.504,0.3154,0.5333,0.2852,0.5066
92,2.2204,0.2427,0.2895,0.0125,0.0008,1.6749,1.9206,0.2471,0.2478,0.0119,0.0009,1.4129,0.2759,0.4967,0.302,0.5243,0.2744,0.4986
93,2.1705,0.2431,0.2867,0.0124,0.0007,1.6276,1.9222,0.2469,0.2495,0.0118,0.001,1.4131,0.2793,0.506,0.3071,0.533,0.2788,0.5087
94,2.205,0.2419,0.2866,0.0123,0.0006,1.6635,1.9333,0.2453,0.2462,0.0117,0.0009,1.4291,0.278,0.512,0.3094,0.5403,0.2793,0.5149
95,2.1414,0.2407,0.285,0.0124,0.0008,1.6026,1.9248,0.2488,0.2419,0.0117,0.0009,1.4214,0.2675,0.5024,0.2917,0.5292,0.2692,0.5052
96,2.1495,0.242,0.2843,0.0124,0.0009,1.6099,1.8826,0.2485,0.2445,0.0118,0.0009,1.377,0.275,0.5032,0.3052,0.5302,0.2757,0.5049
97,2.1047,0.2436,0.2835,0.0124,0.0007,1.5646,1.8841,0.249,0.2391,0.0117,0.0009,1.3834,0.285,0.5066,0.314,0.5333,0.283,0.509
98,2.0965,0.242,0.2829,0.0123,0.0008,1.5585,1.8826,0.2479,0.2437,0.0117,0.0008,1.3785,0.291,0.5108,0.3183,0.5372,0.293,0.5128
99,2.1732,0.2409,0.282,0.0123,0.0007,1.6374,1.8622,0.2465,0.2389,0.0117,0.0009,1.3643,0.2858,0.5134,0.3164,0.5413,0.2868,0.516
100,2.1083,0.2397,0.2826,0.0123,0.0009,1.5729,1.9026,0.2441,0.2428,0.0117,0.0008,1.4032,0.2905,0.5139,0.3217,0.542,0.2917,0.516
101,2.0261,0.2412,0.2759,0.0123,0.0009,1.4958,1.8714,0.2461,0.2393,0.0116,0.0009,1.3735,0.2854,0.5144,0.3148,0.5406,0.2859,0.5163
102,2.1114,0.2404,0.2831,0.0123,0.0007,1.5749,1.899,0.2444,0.2418,0.0116,0.0009,1.4003,0.2896,0.5148,0.3192,0.541,0.2897,0.517
103,2.0449,0.2411,0.2781,0.0122,0.001,1.5124,1.8952,0.244,0.2393,0.0116,0.0008,1.3994,0.2938,0.5179,0.3238,0.5455,0.2916,0.5194
104,2.0459,0.2411,0.2788,0.0122,0.001,1.5128,1.8606,0.2458,0.2403,0.0116,0.0008,1.3621,0.2938,0.5179,0.3229,0.5441,0.2921,0.5198
105,2.1172,0.2414,0.2817,0.0123,0.0007,1.581,1.8677,0.2479,0.2404,0.0116,0.0009,1.367,0.2962,0.516,0.3252,0.5417,0.2949,0.5177
106,2.016,0.2422,0.2764,0.0122,0.0006,1.4846,1.8669,0.246,0.2399,0.0116,0.0008,1.3686,0.2973,0.5266,0.3261,0.5528,0.2959,0.5281
107,2.0705,0.2427,0.2785,0.0123,0.0006,1.5365,1.8586,0.2476,0.2344,0.0116,0.001,1.3639,0.2945,0.5217,0.3202,0.5465,0.2961,0.5215
108,2.0482,0.2412,0.2787,0.0122,0.0009,1.5152,1.8554,0.2489,0.2349,0.0116,0.0009,1.3592,0.2854,0.5154,0.3146,0.5413,0.284,0.5149
